case_id,category,concept_tag,severity,osi_layer,symptom,topology_note,show_output,expected_fault,expected_next_command,network_snapshot_json,checker_findable,checker_check
C011,Gateway,wrong-subnet-mask,Medium,Layer 3,"Half the PCs in VLAN 40 can reach each other, the other half cannot, seemingly at random.",VLAN 40 subnet is 192.168.40.0/24; PC7 was set up manually and typo'd the mask.,"PC7> ipconfig
IP Address......: 192.168.40.12
Subnet Mask......: 255.255.0.0
Default Gateway...: 192.168.40.1

Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.40  192.168.40.1    YES manual up                    up","PC7 has a /16 mask (255.255.0.0) instead of the intended /24, so it computes an oversized subnet and mishandles ARP/routing decisions for peers.",ipconfig /all on PC7; correct subnet mask to 255.255.255.0,"{""hosts"":[{""name"":""PC7"",""ip"":""192.168.40.12"",""mask"":""255.255.0.0"",""gateway"":""192.168.40.1"",""vlan"":40}],""interfaces"":[{""name"":""Gi0/0.40"",""ip"":""192.168.40.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":40}],""vlans"":[{""id"":40,""name"":""FINANCE""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,wrong_subnet_mask
C012,Gateway,duplicate-ip,Medium,Layer 3,A server monitoring dashboard shows the print server flapping online/offline every few minutes.,"Print server and a technician's laptop were both statically assigned during setup, on VLAN 20.","PrintServer> ipconfig
IP Address......: 192.168.20.99
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.20.1

TechLaptop> ipconfig
IP Address......: 192.168.20.99
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.20.1","PrintServer and TechLaptop share the same static IP (192.168.20.99), causing intermittent connectivity as devices contend for the address.",ipconfig on both devices; reassign TechLaptop to 192.168.20.98 or another free address,"{""hosts"":[{""name"":""PrintServer"",""ip"":""192.168.20.99"",""mask"":""255.255.255.0"",""gateway"":""192.168.20.1"",""vlan"":20},{""name"":""TechLaptop"",""ip"":""192.168.20.99"",""mask"":""255.255.255.0"",""gateway"":""192.168.20.1"",""vlan"":20}],""interfaces"":[{""name"":""Gi0/0.20"",""ip"":""192.168.20.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":20}],""vlans"":[{""id"":20,""name"":""ENGINEERING""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,duplicate_ip
C013,DHCP,dhcp-scope-exhausted,Medium,Layer 3/7,New PCs added to VLAN 10 fail to get an IP address; existing PCs are fine.,DHCP pool VLAN10_POOL configured with a small network range on the router.,"Router#show ip dhcp pool VLAN10_POOL
Pool VLAN10_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/last)       : 0 / 0
 Total addresses                : 14
 Leased addresses               : 14
 Excluded addresses             : 2
 Pending event                  : none

Router#show ip dhcp conflict
IP address       Detection method     Detection time","The DHCP pool for VLAN 10 is fully leased out (14/14 addresses), so new clients cannot obtain a lease.",show ip dhcp pool VLAN10_POOL; widen the network statement or shorten the lease time,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":10,""name"":""DATA""}],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (pool exhaustion is not one of the 6 rules)
C014,DHCP,duplicate-ip,High,Layer 3,A statically-configured server keeps losing connectivity right after the DHCP server hands out new leases.,Server1 is statically set inside the same range the DHCP pool also hands out on VLAN 10.,"Server1> ipconfig
IP Address......: 192.168.10.50
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.10.1

Router#show ip dhcp pool VLAN10_POOL
Network number/mask: 192.168.10.0 / 255.255.255.0
Excluded addresses : 192.168.10.1 - 192.168.10.10

%DHCPD-4-PING_CONFLICT: DHCP address conflict: client claims 192.168.10.50 already in use","192.168.10.50 was never excluded from the DHCP pool, so the server's static address is periodically re-leased to a DHCP client, creating a conflict.",show ip dhcp pool VLAN10_POOL; add ip dhcp excluded-address 192.168.10.50 192.168.10.50,"{""hosts"":[{""name"":""Server1"",""ip"":""192.168.10.50"",""mask"":""255.255.255.0"",""gateway"":""192.168.10.1"",""vlan"":10},{""name"":""DHCP-Client-Lease"",""ip"":""192.168.10.50"",""mask"":""255.255.255.0"",""gateway"":""192.168.10.1"",""vlan"":10}],""interfaces"":[{""name"":""Gi0/0.10"",""ip"":""192.168.10.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":10}],""vlans"":[{""id"":10,""name"":""DATA""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,duplicate_ip
C015,DHCP,dhcp-relay-missing,High,Layer 3,"PCs on a remote VLAN across a router hop never receive a DHCP-assigned IP, but local-VLAN PCs work fine.",DHCP server lives in VLAN 10; VLAN 50 clients are on a different subnet reachable only via the router.,"Router#show run interface gi0/0.50
interface GigabitEthernet0/0.50
 encapsulation dot1Q 50
 ip address 192.168.50.1 255.255.255.0
!
(no ip helper-address configured)","VLAN 50's router subinterface has no 'ip helper-address' pointing at the DHCP server, so broadcast DHCP discovers never reach it across the router boundary.",show run interface gi0/0.50; add ip helper-address 192.168.10.5,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":50,""name"":""REMOTE""}],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (missing ip helper-address is not one of the 6 rules)
C016,DHCP,wrong-subnet-mask,Medium,Layer 3,"Devices in the new lab VLAN 70 get IP addresses but cannot talk to each other, only to the router.",DHCP pool for VLAN 70 was created with the wrong mask in the pool definition.,"Router#show run | section ip dhcp pool VLAN70_POOL
ip dhcp pool VLAN70_POOL
 network 192.168.70.0 255.255.255.128
 default-router 192.168.70.1
 dns-server 8.8.8.8

Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.70  192.168.70.1    YES manual up                    up","The DHCP pool hands out a /25 mask (255.255.255.128) while the router interface uses /24, so half the leased hosts fall outside the router's actual subnet.",show run | section dhcp pool VLAN70_POOL; correct network mask to 255.255.255.0,"{""hosts"":[{""name"":""LabPC-DHCP"",""ip"":""192.168.70.40"",""mask"":""255.255.255.128"",""gateway"":""192.168.70.1"",""vlan"":70}],""interfaces"":[{""name"":""Gi0/0.70"",""ip"":""192.168.70.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":70}],""vlans"":[{""id"":70,""name"":""LAB""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,wrong_subnet_mask
C017,DHCP,interface-down,High,Layer 1/2,An entire branch VLAN lost DHCP and internet access at the same time this morning.,Router subinterface Gi0/0.80 serves VLAN 80; someone bumped the patch cable overnight.,"Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES manual administratively down down
GigabitEthernet0/0.80  192.168.80.1    YES manual up                    down","The physical parent interface GigabitEthernet0/0 is administratively down, taking every subinterface (including VLAN 80's Gi0/0.80) down with it.",show ip interface brief; no shutdown on GigabitEthernet0/0,"{""hosts"":[],""interfaces"":[{""name"":""Gi0/0"",""ip"":null,""mask"":null,""status"":""administratively down"",""protocol"":""down"",""vlan"":null},{""name"":""Gi0/0.80"",""ip"":""192.168.80.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""down"",""vlan"":80}],""vlans"":[{""id"":80,""name"":""BRANCH""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,interface_down
C018,DNS,wrong-dns-server,Medium,Layer 7,PCs can ping the file server by IP address but 'ping fileserver.lab.local' fails to resolve.,PC8 on VLAN 10 configured with a DNS server address that does not belong to this lab.,"PC8> ipconfig /all
IP Address......: 192.168.10.60
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.10.1
DNS Servers......: 203.0.113.9

PC8> ping fileserver.lab.local
Ping request could not find host fileserver.lab.local. Please check the name and try again.

PC8> ping 192.168.10.5
Reply from 192.168.10.5: bytes=32 time=1ms TTL=128","PC8 is pointed at an unreachable external DNS server (203.0.113.9) instead of the internal lab DNS server, so name resolution fails while IP connectivity works.","ipconfig /all; correct DNS server to the internal lab DNS address, e.g. 192.168.10.5","{""hosts"":[{""name"":""PC8"",""ip"":""192.168.10.60"",""mask"":""255.255.255.0"",""gateway"":""192.168.10.1"",""vlan"":10}],""interfaces"":[],""vlans"":[{""id"":10,""name"":""DATA""}],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (DNS server value is not one of the 6 rules)
C019,DNS,missing-dns-record,Low,Layer 7,A newly built app server is reachable by IP but nobody can reach it by name; other hostnames resolve fine.,Internal DNS server on VLAN 10; new A record for appserver.lab.local was never created.,"DNSServer#show hosts | include appserver
(no output)

PC9> ping appserver.lab.local
Ping request could not find host appserver.lab.local. Please check the name and try again.

PC9> ping 192.168.10.70
Reply from 192.168.10.70: bytes=32 time=2ms TTL=128","No A record exists for appserver.lab.local on the internal DNS server, so resolution fails even though the host itself is reachable.",show hosts on DNS server; add the missing A record,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (missing DNS record is not one of the 6 rules)
C020,DNS,dns-server-unreachable,Medium,Layer 3/7,All name resolution in VLAN 20 stopped working after a routing change this morning.,DNS server sits in VLAN 10; VLAN 20 lost its route to VLAN 10 in an unrelated change.,"PC10> nslookup fileserver.lab.local
DNS request timed out.

Router#show ip route | include 192.168.10.0
(no output)","VLAN 20 has no route back to the VLAN 10 subnet where the DNS server lives, so DNS queries time out even though the DNS config on the PC is correct.",show ip route; restore the route to 192.168.10.0/24,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":10,""name"":""DATA""},{""id"":20,""name"":""ENGINEERING""}],""switchports"":[],""routes"":[],""required_routes"":[{""network"":""192.168.10.0"",""mask"":""255.255.255.0"",""reason"":""DNS server subnet must be reachable from VLAN 20""}]}",True,missing_route
C021,DNS,hosts-file-override,Low,Layer 7,One technician's laptop resolves fileserver.lab.local to the wrong (decommissioned) IP address while every other PC resolves correctly.,Local hosts file on the technician laptop has a stale static entry.,"TechLaptop> ping fileserver.lab.local
Pinging 192.168.10.9 with 32 bytes of data:
Request timed out.

DNSServer#show hosts | include fileserver
fileserver.lab.local            192.168.10.5",The technician's laptop has a stale local hosts-file entry (192.168.10.9) overriding the correct DNS answer (192.168.10.5) from the lab DNS server.,inspect local hosts file on TechLaptop; remove the stale static entry,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (client-side hosts file is not one of the 6 rules)
C022,Routing,missing-route,High,Layer 3,PC gets an IP but cannot reach server in VLAN 30; gateway ping works.,Example case from the problem statement: inter-VLAN routing to the VLAN 30 server subnet.,"PC> ping 192.168.10.1
Reply from 192.168.10.1: bytes=32 time=1ms TTL=255

PC> ping 192.168.30.50
Request timed out.

Router#show ip route
     192.168.10.0/24 is directly connected, GigabitEthernet0/0.10
     192.168.20.0/24 is directly connected, GigabitEthernet0/0.20

Router#show access-lists
(no access-lists configured)","Likely inter-VLAN routing issue at Layer 3: the router has no route/subinterface for the 192.168.30.0/24 (VLAN 30) server subnet, so traffic beyond the gateway is dropped.",show ip route; show access-lists; show interfaces trunk,"{""hosts"":[],""interfaces"":[{""name"":""Gi0/0.10"",""ip"":""192.168.10.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":10},{""name"":""Gi0/0.20"",""ip"":""192.168.20.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":20}],""vlans"":[{""id"":10,""name"":""DATA""},{""id"":20,""name"":""ENGINEERING""},{""id"":30,""name"":""SERVERS""}],""switchports"":[],""routes"":[{""network"":""192.168.10.0"",""mask"":""255.255.255.0""},{""network"":""192.168.20.0"",""mask"":""255.255.255.0""}],""required_routes"":[{""network"":""192.168.30.0"",""mask"":""255.255.255.0"",""reason"":""VLAN 30 server subnet must be reachable""}]}",True,missing_route
C023,Routing,missing-route,High,Layer 3,Branch office PCs can reach HQ but HQ users report they cannot reach the branch file share.,Static routing between HQ router and Branch router; return route was never added at HQ.,"HQ-Router#show ip route static
     10.10.20.0/24 [1/0] via 10.10.0.2

BranchRouter#show ip route static
(no output)","HQ has a static route to the branch (10.10.20.0/24) but the branch router has no return static route back to HQ's subnet, so replies are dropped at the branch.",show ip route static on both routers; add missing return route on BranchRouter,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[{""network"":""10.10.0.0"",""mask"":""255.255.255.0"",""reason"":""HQ subnet must be reachable from Branch""}]}",True,missing_route
C024,Routing,ospf-neighbor-down,High,Layer 3,Two core routers stopped exchanging routes after an interface renumbering; remote VLANs are unreachable.,R1 and R2 run OSPF area 0 over a /30 link; R2's interface was renumbered without updating R1.,"R1#show ip ospf neighbor
(no output)

R1#show run interface gi0/1
interface GigabitEthernet0/1
 ip address 10.0.0.1 255.255.255.252
 ip ospf 1 area 0

R2#show run interface gi0/1
interface GigabitEthernet0/1
 ip address 10.0.1.1 255.255.255.252
 ip ospf 1 area 0","R1 and R2 no longer share the same subnet on their OSPF link (10.0.0.0/30 vs 10.0.1.0/30), so the adjacency cannot form and routes stop propagating.",show ip ospf neighbor; show run interface gi0/1 on both routers; align IPs onto the same /30,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (OSPF adjacency mismatch is not one of the 6 rules)
C025,Routing,missing-route,Medium,Layer 3,"A new server VLAN 90 was stood up; local PCs can reach it, but no other VLAN can reach the new server.","Router-on-a-stick with subinterface Gi0/0.90 created, but connected route did not propagate as expected (no dynamic routing enabled).","Router#show run interface gi0/0.90
interface GigabitEthernet0/0.90
 encapsulation dot1Q 90
 ip address 192.168.90.1 255.255.255.0

Router#show ip route
     192.168.10.0/24 is directly connected, GigabitEthernet0/0.10
     192.168.20.0/24 is directly connected, GigabitEthernet0/0.20","Subinterface Gi0/0.90 exists and is configured, but 'show ip route' does not list 192.168.90.0/24 as connected -- the interface is likely down/down or the encapsulation/VLAN tag does not match the switch trunk, so the route never installs.",show ip interface brief; show ip route; verify trunk allows vlan 90,"{""hosts"":[],""interfaces"":[{""name"":""Gi0/0.10"",""ip"":""192.168.10.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":10},{""name"":""Gi0/0.20"",""ip"":""192.168.20.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":20},{""name"":""Gi0/0.90"",""ip"":""192.168.90.1"",""mask"":""255.255.255.0"",""status"":""down"",""protocol"":""down"",""vlan"":90}],""vlans"":[{""id"":10,""name"":""DATA""},{""id"":20,""name"":""ENGINEERING""},{""id"":90,""name"":""NEWSERVERS""}],""switchports"":[],""routes"":[{""network"":""192.168.10.0"",""mask"":""255.255.255.0""},{""network"":""192.168.20.0"",""mask"":""255.255.255.0""}],""required_routes"":[{""network"":""192.168.90.0"",""mask"":""255.255.255.0"",""reason"":""new server VLAN must be reachable from other VLANs""}]}",True,"missing_route,interface_down"
C026,Routing,default-route-missing,Medium,Layer 3,Internal VLANs can reach each other fine but nobody can reach the internet or ping 8.8.8.8.,Edge router connects to ISP; no default route configured after a recent router replacement.,"EdgeRouter#show ip route
     192.168.10.0/24 is directly connected, GigabitEthernet0/0.10
     192.168.20.0/24 is directly connected, GigabitEthernet0/0.20
     (no S* 0.0.0.0/0 entry)

PC> ping 8.8.8.8
Request timed out.","The edge router has no default route (0.0.0.0/0) toward the ISP, so all internet-bound traffic is dropped even though internal routing works.",show ip route; ip route 0.0.0.0 0.0.0.0 <ISP next-hop>,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":10,""name"":""DATA""},{""id"":20,""name"":""ENGINEERING""}],""switchports"":[],""routes"":[{""network"":""192.168.10.0"",""mask"":""255.255.255.0""},{""network"":""192.168.20.0"",""mask"":""255.255.255.0""}],""required_routes"":[{""network"":""0.0.0.0"",""mask"":""0.0.0.0"",""reason"":""default route to ISP required for internet access""}]}",True,missing_route
C027,Routing,interface-down,High,Layer 1,An entire remote VLAN dropped off the network after routine maintenance overnight.,Trunk-facing router interface Gi0/1 was left shut down after a maintenance window.,"Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1     unassigned      YES manual administratively down down
GigabitEthernet0/1.100 192.168.100.1   YES manual up                    down","GigabitEthernet0/1 is administratively shut down, taking VLAN 100's subinterface down with it and isolating that entire VLAN.",show ip interface brief; no shutdown on GigabitEthernet0/1,"{""hosts"":[],""interfaces"":[{""name"":""Gi0/1"",""ip"":null,""mask"":null,""status"":""administratively down"",""protocol"":""down"",""vlan"":null},{""name"":""Gi0/1.100"",""ip"":""192.168.100.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""down"",""vlan"":100}],""vlans"":[{""id"":100,""name"":""REMOTE""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,interface_down
